2020-07-03 16:24:05,139 [Worker-37: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /99s/src/test/java
2020-07-03 16:24:05,139 [Worker-37: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /99s/src/test/resources
2020-07-03 16:24:05,909 [Worker-37: Updating Maven Project] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for 99s
2020-07-03 16:24:05,927 [Worker-37: Updating Maven Project] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2020-07-03 16:24:07,046 [Worker-37: Building Project 99s] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:12.1.0.2 is missing, no dependency information available
2020-07-03 16:24:07,409 [Worker-37: Building Project 99s] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-03 16:24:07,423 [Worker-37: Building Project 99s] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-07-03 16:24:07,439 [Worker-37: Building Project 99s] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-03 16:24:07,457 [Worker-37: Building Project 99s] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-07-03 16:24:07,461 [Worker-37: Building Project 99s] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of 99s
2020-07-03 16:24:07,462 [Worker-37: Building Project 99s] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for 99s
2020-07-03 16:24:07,468 [Worker-37: Building Project 99s] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-03 16:24:30,766 [Worker-37: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-03 16:24:30,786 [Worker-37: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-07-03 16:24:30,788 [Worker-37: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-03 16:24:30,817 [Worker-37: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-07-03 16:25:04,599 [Worker-40: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ggs:gu:1.0.0-BUILD-SNAPSHOT @ D:\2차 프로젝트\99s\99s\pom.xml.
2020-07-03 16:25:05,321 [Worker-40: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-03 16:25:05,331 [Worker-40: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-07-03 16:25:05,333 [Worker-40: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-07-03 16:25:05,344 [Worker-40: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-07-03 16:25:05,344 [Worker-40: Building workspace] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of 99s
2020-07-03 16:25:05,344 [Worker-40: Building workspace] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for 99s
